localidad_clean,anio,suicidios,ideaciones,spa,localidad,poblacion,oferta_deporte,oferta_cultura,tasa_suicidios,tasa_ideaciones,tasa_spa,tasa_oferta_deporte,tasa_oferta_cultura
ciudad bolivar,2012,0.0,460.0,0.0,Ciudad Bolivar,666350.0,216.0,8.0,0.0,69.03279057552338,0.0,32.41539731372402,1.2005702708786674
ciudad bolivar,2013,0.0,665.0,0.0,Ciudad Bolivar,666350.0,216.0,8.0,0.0,99.79740376678923,0.0,32.41539731372402,1.2005702708786674
ciudad bolivar,2014,0.0,815.0,0.0,Ciudad Bolivar,666350.0,216.0,8.0,0.0,122.30809634576423,0.0,32.41539731372402,1.2005702708786674
ciudad bolivar,2015,36.0,1224.0,1430.0,Ciudad Bolivar,666350.0,216.0,8.0,5.402566218954003,183.6872514444361,214.6019359195618,32.41539731372402,1.2005702708786674
ciudad bolivar,2016,34.0,1273.0,520.0,Ciudad Bolivar,666350.0,216.0,8.0,5.102423651234337,191.04074435356793,78.03706760711339,32.41539731372402,1.2005702708786674
ciudad bolivar,2017,40.0,1267.0,492.0,Ciudad Bolivar,666350.0,216.0,8.0,6.002851354393337,190.14031665040895,73.83507165903804,32.41539731372402,1.2005702708786674
ciudad bolivar,2018,37.0,1383.0,274.0,Ciudad Bolivar,666350.0,216.0,8.0,5.552637502813837,207.5485855781496,41.11953177759436,32.41539731372402,1.2005702708786674
ciudad bolivar,2019,31.0,1688.0,678.0,Ciudad Bolivar,666350.0,216.0,8.0,4.652209799654837,253.3203271553988,101.74833045696705,32.41539731372402,1.2005702708786674
ciudad bolivar,2020,33.0,1296.0,423.0,Ciudad Bolivar,666350.0,216.0,8.0,4.952352367374503,194.49238388234411,63.480153072709534,32.41539731372402,1.2005702708786674
ciudad bolivar,2021,30.0,1921.0,549.0,Ciudad Bolivar,666350.0,216.0,8.0,4.502138515795003,288.28693629474003,82.38913483904855,32.41539731372402,1.2005702708786674
ciudad bolivar,2022,46.0,2891.0,444.0,Ciudad Bolivar,666350.0,216.0,8.0,6.903279057552338,433.85608163877845,66.63165003376605,32.41539731372402,1.2005702708786674
ciudad bolivar,2023,45.0,3470.0,501.0,Ciudad Bolivar,666350.0,216.0,8.0,6.7532077736925045,520.7473549936219,75.18571321377654,32.41539731372402,1.2005702708786674
ciudad bolivar,2024,35.0,3300.0,805.0,Ciudad Bolivar,666350.0,216.0,8.0,5.25249493509417,495.23523673745024,120.8073835071659,32.41539731372402,1.2005702708786674
ciudad bolivar,2025,33.0,3672.0,1001.0,Ciudad Bolivar,666350.0,216.0,8.0,4.952352367374503,551.0617543333083,150.22135514369327,32.41539731372402,1.2005702708786674
ciudad bolivar,2026,2.0,301.0,0.0,Ciudad Bolivar,666350.0,216.0,8.0,0.30014256771966685,45.17145644180986,0.0,32.41539731372402,1.2005702708786674
