nombre,dirección,localidad,upz,entidad_administradora,carácter,uso_principal
Centro Musical Jerusalem,KR 42 73A 10 SUR,Ciudad Bolívar,Jerusalem,FUNDACIÓN NACIONAL BATUTA,Público,Centro Cultural y Artístico
Alianza Colombo Francesa,KR 3 18 45,Santa Fe,Las Nieves,ALIANZA COLOMBO FRANCESA,Privado,Centro Cultural y Artístico
Centro De Desarrollo Comunitario Colinas,KR 15C 31G 40 SUR,Rafael Uribe Uribe,San Jose,SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL,Público,Centro Cultural y Artístico
Clan Engativá Villas Del Dorado,KR 107 70 BIS 58,Engativá,Garces Navas,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Corporación Casa De La Juventud De Kennedy,CL 40A 74 34 SUR,Kennedy,Kennedy Central,CORPORACIÓN CASA DE LA JUVENTUD DE KENNEDY,Privado,Centro Cultural y Artístico
Centro Cultural Gabriel Mejía Betancur,CL 73 14 53,Chapinero,Chico Lago,INMOBILIARIA CAPRI,Público,Centro Cultural y Artístico
Centro Musical Lisboa,CL 136 154 11,Suba,Tibabuyes,FUNDACIÓN NACIONAL BATUTA,Privado,Centro Cultural y Artístico
Fundación Gilberto Alzate Avendaño,CL 10 3 16,Candelaria,La Candelaria,FUNDACION GILBERTO ALZATE AVENDAÑO,Público,Centro Cultural y Artístico
Centro Musical Santa Bibiana,CL 106 17 17,Usaquén,Santa Barbara,FUNDACIÓN NACIONAL BATUTA,Mixto,Centro Cultural y Artístico
Clan Bosa La Libertad,KR 88A 59C 90 SUR,Bosa,Bosa Occidental,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Clan Fintibón Villemar,CL 20C 96C 51,Fontibón,Fontibon,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Academia De Artes Guerrero,CL 45 18A 25,Teusaquillo,Teusaquillo,ACADEMIA DE ARTES GUERRERO,Privado,Centro Cultural y Artístico
Clan Barrios Unidos Polo,KR 22 84 50,Barrios Unidos,Los Alcazares,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Fundación Cultural El Contrabajo,KR 61 62 05 SUR,Ciudad Bolívar,Arborizadora,FUNDACIÓN CULTURAL  EL CONTRABAJO,Privado,Centro Cultural y Artístico
Clan Rafael Uribe Uribe,CL 27A 15 51 SUR,Rafael Uribe Uribe,San Jose,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Clan Usme La Lira,AK 14 117 65 SUR,Usme,Comuneros,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Centro Cultural Magitinto,KR 6 117 12,Chapinero,Chico Lago,CENTRO CULTURAL MAGITINTO,Privado,Centro Cultural y Artístico
Clan Bosa Naranjos,CL 70A 80I 15 SUR,Bosa,Bosa Central,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Academia De Baile Alma De Tango,KR 27 51 10,Teusaquillo,Galerias,GINNA MEDINA,Privado,Centro Cultural y Artístico
Casa De La Cultura Afrocolombiana - Sede Fundación Cultural - Colombia Negra,KR 5 26B 52,Santa Fe,La Macarena,CASA DE LA CULTURA AFROCOLOMBIANA - SEDE FUNDACIÓN CULTURAL - COLOMBIA NEGRA,Privado,Centro Cultural y Artístico
