mes,localidad,upz,punto,direccion,jornada,#_actividades,participanteshombres,participantesmujeres,total
ENERO,Bosa,El Porvenir,SALON COMUNAL ENTRE PARQUES,Cl. 51 Sur #92a,Manzanas del Ciudado,16,21,98,119
ENERO,Bosa,El Porvenir,CENTRO DE DESARROLLO COMUNITARIO EL PORVENIR,CRA 100 # 52 - 24,Manzanas del Ciudado,113,160,3389,3549
ENERO,Bosa,Bosa Central,SALON COMUNAL BOSA LA PALESTINA,CALLE 69 SUR # 81A - 2,Manzanas del Ciudado,33,72,770,842
ENERO,Bosa,Tintal Sur,SALON COMUNAL CAMPANO,CL. 61A SUR # 98C-33,Manzanas del Ciudado,16,34,150,184
ENERO,Bosa,Tintal Sur,PARQUE ZONAL ACAMPO VERDE,CL. 85 SUR #92-85,Manzanas del Ciudado,76,107,1843,1950
ENERO,Bosa,Tintal Sur,PARQUE URBANIZACION SANTIAGO DE ATALAYAS,CARRERA 93D N 59B 00 SUR,Manzanas del Ciudado,26,14,587,601
ENERO,Bosa,Tintal Sur,PARQUE URBANIZACION SANTIAGO DE ATALAYAS,CARRERA 93D N 59B 00 SUR,Persona Mayor,16,76,810,886
ENERO,Bosa,Bosa Central,PARQUE EL GUSANITO,Cl. 68 Bis Sur #80k-70,Manzanas del Ciudado,15,0,176,176
ENERO,Bosa,Bosa Central,Salon comunal Nueva Granada I sector,Calle 70 A Bis A sur No 77 L - 06,Manzanas del Ciudado,14,20,170,190
ENERO,Bosa,El Porvenir,SALON COMUNAL VILLA ANDREA,CALLE 51CS #82 A-09,Manzanas del Ciudado,33,79,1348,1427
ENERO,Bosa,Bosa Central,SALON COMUNAL BOSA LAURELES III,CRA. 81 #75 SUR-2 A 75,Manzanas del Ciudado,35,172,1636,1808
ENERO,Bosa,El Porvenir,PARQUE ATALAYAS II SECTOR,CL. 61A SUR # 98C-33,Manzanas del Ciudado,52,150,2482,2632
ENERO,Bosa,Bosa Occidental,PARQUE DESARROLLO LA CONCEPCION,ENTRE CARRERA 100C 105B Y TRANSVERSAL 100D CARRERA 106 CON EL COSTADO OCCIDENTAL DE LA CALLE 68A SUR,Persona Mayor,18,69,567,636
ENERO,Bosa,El Porvenir,SANTA FE,CALLE 54 C SUR # 87 J 16,Persona Mayor,17,59,488,547
ENERO,Bosa,Bosa Central,PARQUE NARANJOS,CALLE 70 F S N 80 J 50,Recreovia Entre Semana,26,42,721,763
ENERO,Bosa,Bosa Central,PARQUE NARANJOS,CALLE 70 F S N 80 J 50,Gimnasios Nocturnos,27,43,197,240
ENERO,Bosa,Bosa Central,PARQUE NARANJOS,CALLE 70 F S N 80 J 50,Persona Mayor,10,21,99,120
ENERO,Bosa,Bosa Central,PARQUE NARANJOS,CALLE 70 F S N 80 J 50,Recreovia Fin de Semana,30,96,434,530
ENERO,Bosa,Apogeo,PARQUE VILLA DEL RIO,CALLE 56A SUR CON 85,Gimnasios Nocturnos,21,6,33,39
ENERO,Bosa,Tintal Sur,SALON COMUNAL ALCAPARRO,CALLE 80 BIS SUR # 94-21,Manzanas del Ciudado,21,28,366,394
ENERO,Bosa,Bosa Occidental,SALON COMUNAL EUCALIPTO,Cl. 85 Sur #92-85,Manzanas del Ciudado,16,8,142,150
ENERO,Bosa,Bosa Central,SALON COMUNAL HUMBERTO VALENCIA,"Cra. 81f #71-33, Bogotá",Manzanas del Ciudado,18,9,181,190
ENERO,Bosa,El Porvenir,JUNTA DE ACCION COMUNAL EL RECUERDO,CALLE 58 SUR # 106-21,Manzanas del Ciudado,24,14,376,390
ENERO,Bosa,Bosa Central,PARQUE URBANIZACION LA ACUARELA,CALLE 62 SUR CON CARRERA 78A COSTADO SURORIENTAL,Gimnasios Nocturnos,26,10,188,198
ENERO,Bosa,Bosa Occidental,PARQUE DESARROLLO BOSA NOVA,ENTRE CARRERA 99 Y 100 CCON CALLES 59B SUR Y 59C SUR,Persona Mayor,10,51,434,485
ENERO,Bosa,Bosa Central,"PARQUE DESAROLLO JOSE ANTONIO GALAN, VILLA NHORA",CALLE 58M SUR CON CARRERA 78M COSTADO SURORIENTAL,Persona Mayor,11,31,309,340
ENERO,Bosa,Bosa Central,PARQUE PIAMONTE,CALLE 68A SUR # 80H - 44,Persona Mayor,10,40,255,295
ENERO,Bosa,Apogeo,PARQUE URBANIZACION OLARTE,CALLE 53A SUR # 72,Persona Mayor,16,115,707,822
ENERO,Bosa,Bosa Central,PARQUE LA AZUCENA,CARRERA 78A # 67G - 46,Persona Mayor,11,28,187,215
ENERO,Bosa,Bosa Occidental,PARQUE URBANIZACION LA ESPERANZA,CARRERA 77L N 7850 SUR,Cross Hit,54,210,1459,1669
ENERO,Bosa,Tintal Sur,PARQUE RECREO,CARRERA 100 CALLE 20,Persona Mayor,11,41,279,320
ENERO,Bosa,El Porvenir,PARQUE BRASIL PRIMER SECTOR,CARRERA 89SUR # 52B-65,Persona Mayor,12,20,235,255
ENERO,Bosa,Bosa Central,PARQUE CARBONELL,ENTRE TRANSVERSAL 78D Y CARRERA 68C CON CALLE 71A SUR,Persona Mayor,10,18,238,256
ENERO,Bosa,Bosa Central,PARQUE URBANIZACION LA AMISTAD,TRANSVERSAL 83 BIS CON CALLE 64C SUR COSTADO NOROCCIDENTAL,Persona Mayor,6,10,92,102
ENERO,Bosa,Tintal Sur,POTRERITO,CALLE 82 CON CALLE 81 A SUR,Persona Mayor,6,12,74,86
ENERO,Bosa,Tintal Sur,CABILDO INDIGENA,TRANSVERSAL 87B # 79C SUR,Persona Mayor,6,0,32,32
ENERO,Chapinero,San Isidro Patios,PARQUE SAN LUIS,TRANSVERSAL 8 ESTE CON CALLE 97,Persona Mayor,8,14,96,110
ENERO,Chapinero,Pardo Rubio,GUSTAVO URIBE BOTERO,CARRERA 1 N 7011,Persona Mayor,26,12,368,380
ENERO,Chapinero,Chapinero,CASA DE LA SABIDURIA,CALLE 71 #10-47,Manzanas del Ciudado,22,228,564,792
ENERO,Chapinero,Chicó Lago,CEFE CHAPINERO,ENTRE LAS CALLES 30 Y 31 Y ENTRE LAS CARRERAS 37 Y 37A,Persona Mayor,26,10,224,234
ENERO,Chapinero,Pardo Rubio,EL PARAISO,TV 1 ESTE 39A 24,Cross Hit,24,1,138,139
ENERO,Chapinero,Pardo Rubio,EL PARAISO,TV 1 ESTE 39A 24,Recreovia Entre Semana,8,0,79,79
ENERO,Chapinero,Pardo Rubio,TITOS GARZON,TRANSVERSAL 3 BIS ESTE # 47 B 45,Manzanas del Ciudado,30,0,458,458
ENERO,Chapinero,Chicó Lago,CANAL EL VIRREY- EL CHICO,CALLE 88 N 13 A 40,Persona Mayor,18,4,160,164
ENERO,Fontibón,Modelia,MODELIA CENTRAL,CARRERA 81 # 24D,Persona Mayor,13,14,301,315
ENERO,Fontibón,Fontibón,VILLEMAR,"ENTRE 96, CALLE. 20D #S/N, ZONA 5",Persona Mayor,12,29,297,326
ENERO,Fontibón,Granjas de Techo,HAYUELOS,CALLE 19A - KR 80A,Persona Mayor,18,0,258,258
ENERO,Fontibón,Granjas de Techo,HAYUELOS,CALLE 19A - KR 80A,Gimnasios Nocturnos,6,0,13,13
ENERO,Fontibón,Fontibón,ATAHUALPA,CARRERA 113 # 23B - 35,Cross Hit,45,120,335,455
ENERO,Fontibón,Fontibón,ATAHUALPA,CARRERA 113 # 23B - 35,Gimnasios Nocturnos,26,52,178,230
ENERO,Fontibón,Fontibón,CDC LA GIRALDA,CRA 104B # 22J - 15,Manzanas del Ciudado,50,6,1041,1047
ENERO,Fontibón,Fontibón,CARMEN DE LA LAGUNA,CALLE 16F BIS # 104 - 28,Persona Mayor,16,28,1114,1142
ENERO,Fontibón,Modelia,ALAMEDA MODELIA,CALLE 24A # 74A - 40 FONTIBON,Persona Mayor,18,71,870,941
ENERO,Fontibón,Ciudad Salitre Occidental,SAUZALITO,CALLE 22 # 68D - 43,Cross Hit,48,40,797,837
ENERO,Fontibón,Ciudad Salitre Occidental,SAUZALITO,CALLE 22 # 68D - 43,Gimnasios Nocturnos,21,11,220,231
ENERO,Fontibón,Fontibón,PARQUE VERACRUZ FONTIBON,CARERA 101 A # 24-25,Manzanas del Ciudado,6,2,78,80
ENERO,Fontibón,Fontibón,PARQUE ATAHUALPA,CARRERA 113 #23B - 75,Manzanas del Ciudado,49,10,1552,1562
ENERO,Fontibón,Fontibón,PARQUE VERSALLES,CALLE 22F NO 110 - 05,Manzanas del Ciudado,8,2,56,58
ENERO,Fontibón,Fontibón,EL PEDREGAL,CARRERA 112 B - 22,Manzanas del Ciudado,8,0,44,44
ENERO,Kennedy,Patio Bonito,RIVIERAS DEL OCCIDENTE,CALLE 35 SUR # 93 - 20,Persona Mayor,16,2,191,193
ENERO,Kennedy,Las Margaritas,PARQUE GILMA JIMENEZ,CALLE 51 A SUR N 82 A 16,Recreovia Entre Semana,35,109,1146,1255
ENERO,Kennedy,Las Margaritas,PARQUE GILMA JIMENEZ,CALLE 51 A SUR N 82 A 16,Gimnasios Nocturnos,26,125,80,205
ENERO,Kennedy,Las Margaritas,PARQUE GILMA JIMENEZ,CALLE 51 A SUR N 82 A 16,Recreovia Fin de Semana,24,118,634,752
ENERO,Kennedy,Timiza,PARQUE TIMIZA,CALLE 40 H SUR N 70A - 81,Recreovia Entre Semana,63,131,1233,1364
ENERO,Kennedy,Timiza,PARQUE TIMIZA,CALLE 40 H SUR N 70A - 81,Recreovia Fin de Semana,30,327,1113,1440
ENERO,Kennedy,Carvajal,PARQUE URBANIZACION LUCERNA,CARRERA 72M # 38C - 03 SUR,Persona Mayor,12,8,164,172
ENERO,Kennedy,Patio Bonito,PATIOS 1,CALLE 38C SUR # 87H - 34,Persona Mayor,8,0,107,107
ENERO,Kennedy,Tintal Norte,SALON COMUNAL PALMITAS,CALLE 40 SUR # 93 D 15,Manzanas del Ciudado,12,2,141,143
ENERO,Kennedy,Timiza,CDC LAGO TIMIZA,CARRERA 74 # 42 G 52 SUR,Manzanas del Ciudado,28,59,899,958
ENERO,Kennedy,Patio Bonito,PARQUE PUBLICO DINDALITO,CALLE 42 F SUR # 90 - 33,Manzanas del Ciudado,16,40,402,442
ENERO,Kennedy,Patio Bonito,PARQUE DESARROLLO PATIO BONITO II SECTOR,CALLE 34 SUR # 88 D 12,Manzanas del Ciudado,22,108,784,892
ENERO,Kennedy,Patio Bonito,PARQUE  BELLA VISTA DINDALITO,CALLE 42 SUR # 94 - 15,Manzanas del Ciudado,56,250,4556,4806
ENERO,Kennedy,Castilla,PARQUE RINCON DE LOS ANGELES,CARRERA 78C # 6D - 47,Gimnasios Nocturnos,26,70,55,125
ENERO,Kennedy,Bavaria,URBANIZACION ALOHA (ANTES MARSELLA),CALLE 7A BIS # 71A - 20,Gimnasios Nocturnos,27,28,127,155
ENERO,Kennedy,Bavaria,URBANIZACION ALOHA (ANTES MARSELLA),CALLE 7A BIS # 71A - 20,Persona Mayor,16,24,363,387
ENERO,Kennedy,Kennedy Central,LA AMISTAD,TRANSVERSAL 78 J N 41 10 SUR,Gimnasios Nocturnos,27,16,68,84
ENERO,Kennedy,Kennedy Central,LA AMISTAD,TRANSVERSAL 78 J N 41 10 SUR,Recreovia Entre Semana,18,19,617,636
ENERO,Kennedy,Kennedy Central,LA AMISTAD,TRANSVERSAL 78 J N 41 10 SUR,Persona Mayor,8,12,120,132
ENERO,Kennedy,Patio Bonito,PARQUE UNIR 1 ETAPA 1,CALLE 35 SUR # 89 D 31,Manzanas del Ciudado,35,61,729,790
ENERO,Kennedy,El Porvenir,PARQUE TIERRA BUENA,CALLE 34 A SUR # 99 A 37,Manzanas del Ciudado,44,128,1284,1412
ENERO,Kennedy,Patio Bonito,PARQUE PRIMAVERA ETAPA 1 Y 2,CALLE 2 # 90 A 89,Manzanas del Ciudado,20,83,951,1034
ENERO,Kennedy,Timiza,SALON COMUNAL MORABIA,CALLE 43 SUR # 72 P 14,Manzanas del Ciudado,16,54,416,470
ENERO,Kennedy,Timiza,SALON COMUNAL CARIMAGUA,CALLE 39 SUR # 72 K 02,Manzanas del Ciudado,48,14,850,864
ENERO,Kennedy,Calandaima,URBANIZACION TINTAL SANTA FE,CARRERA 88 # 6A - 99,Persona Mayor,10,4,152,156
ENERO,Kennedy,Castilla,PARQUE CASTILLA,CARRERA 75 NO. 8A -50,Recreovia Entre Semana,14,30,348,378
ENERO,Kennedy,Castilla,PARQUE NUEVA CASTILLA,CALLE 8C # 87B - 91,Persona Mayor,18,19,365,384
ENERO,Kennedy,Timiza,PARQUE CATALINA 1,CALLE 52A SUR # 77W - 05,Persona Mayor,12,23,237,260
ENERO,Kennedy,Américas,PARQUE CARVAJAL OSORIO,CARRERA 68 L# 37D - 38 SUR,Persona Mayor,12,18,207,225
ENERO,Kennedy,Patio Bonito,MANZANAS DEL CUIDADO - SALON PATIO BONITO II SECTOR,CALLE 2 # 87 - 15,Manzanas del Ciudado,14,19,338,357
ENERO,Kennedy,Kennedy Central,PARQUE BANDERAS,CALLE 33A BIS SUR CON CARRERRA 78N,Persona Mayor,10,32,226,258
ENERO,Kennedy,Patio Bonito,CDC BELLA VISTA,CALLE 38 SUR # 94 C 29,Manzanas del Ciudado,8,2,158,160
ENERO,Kennedy,Patio Bonito,PARQUE CONDOMINIOS III,CARRERA 95 A # 34 - 39 SUR,Manzanas del Ciudado,12,16,342,358
ENERO,Kennedy,Américas,PARQUE LA FLORESTA SUR,CARRERA 68 C # 2 - 04 SUR,Persona Mayor,10,9,191,200
ENERO,Kennedy,Timiza,SALON COMUNAL LAS LUCES,"CALLE 51A 98, CALLE 51A SUR",Persona Mayor,4,4,28,32
ENERO,Kennedy,Timiza,PARQUE LA UNIDAD,CALLE 57D SUR CON CARRERA 77I - 12,Persona Mayor,4,8,46,54
ENERO,San Cristóbal,La Gloria,URBANIZACION VILLA DEL CERRO,"ENTRE CALLE 46A SUR, TRANSVERSAL 3B ESTE (CARRERA 4A ESTE) Y CARRERA 3B ESTE",Recreovia Entre Semana,10,11,321,332
ENERO,San Cristóbal,La Gloria,URBANIZACION VILLA DEL CERRO,"ENTRE CALLE 46A SUR, TRANSVERSAL 3B ESTE (CARRERA 4A ESTE) Y CARRERA 3B ESTE",Persona Mayor,8,9,187,196
ENERO,San Cristóbal,20 de Julio,VILLA DE LOS ALPES,CARRERA 3 B # 35 - 04 SUR.,Recreovia Entre Semana,19,90,876,966
ENERO,San Cristóbal,20 de Julio,VILLA DE LOS ALPES,CARRERA 3 B # 35 - 04 SUR.,Gimnasios Nocturnos,21,8,14,22
ENERO,San Cristóbal,20 de Julio,VILLA DE LOS ALPES,CARRERA 3 B # 35 - 04 SUR.,Persona Mayor,9,39,431,470
ENERO,San Cristóbal,Sosiego,VELODROMO,CARRERA 5 A # 17- 13 SUR,Persona Mayor,14,65,485,550
ENERO,San Cristóbal,Sosiego,VELODROMO,CARRERA 5 A # 17- 13 SUR,Recreovia Fin de Semana,21,64,271,335
ENERO,San Cristóbal,San Blas,GAITAN CORTES,CARRERA 39 # 2 C - 15,Recreovia Entre Semana,14,30,482,512
ENERO,San Cristóbal,San Blas,SAN BLAS,CARRERA 9D ESTE #22A21 SUR,Persona Mayor,15,12,302,314
ENERO,San Cristóbal,20 de Julio,BELLO HORIZONTE,ENTRE CALLE 31C SUR Y CALLE 32C SUR CON CARRERA 3 ESTE Y CARRERA 3A ESTE,Recreovia Entre Semana,12,11,129,140
ENERO,San Cristóbal,20 de Julio,BELLO HORIZONTE,ENTRE CALLE 31C SUR Y CALLE 32C SUR CON CARRERA 3 ESTE Y CARRERA 3A ESTE,Persona Mayor,4,4,58,62
ENERO,San Cristóbal,Sosiego,SAN CRISTOBAL,CALLE 17 A SUR N 2A -50 E,Gimnasios Nocturnos,21,4,36,40
ENERO,San Cristóbal,San Blas,SANTA INES,CL 28 BIS SUR 7 03 ESTE IN 1,Persona Mayor,7,6,93,99
ENERO,San Cristóbal,La Gloria,LA VICTORIA,CARRERA 2 ESTE CON CALLE 36L SUR ESQUINA,Cross Hit,44,104,443,547
ENERO,San Cristóbal,La Gloria,LA VICTORIA,CARRERA 2 ESTE CON CALLE 36L SUR ESQUINA,Persona Mayor,6,12,107,119
ENERO,San Cristóbal,San Blas,Gimnasio CDRD CEFE San Cristobal,"KR 3 E, Cl. 18a Sur, Bogotá",Gimnasios CDRD,36,15,52,67
ENERO,San Cristóbal,San Blas,CEFE SAN CRISTOBAL,CALLE 17A SUR 2A -60 ESTE,Recreovia Entre Semana,22,65,938,1003
ENERO,San Cristóbal,San Blas,CEFE SAN CRISTOBAL,CALLE 17A SUR 2A -60 ESTE,Manzanas del Ciudado,125,38,2186,2224
ENERO,San Cristóbal,San Blas,CIUDADELA PAQUE LA ROCA,CALLE 6 SUR N 3-02 ESTE,Persona Mayor,7,0,92,92
ENERO,San Cristóbal,20 de Julio,BARRIO BARCELONA SUR ORIENTAL,CARRERA 9 CON PROLONGACION DE LA CALLE 34B SUR COSTADO SUR,Recreovia Entre Semana,10,10,136,146
ENERO,San Cristóbal,20 de Julio,BARRIO BARCELONA SUR ORIENTAL,CARRERA 9 CON PROLONGACION DE LA CALLE 34B SUR COSTADO SUR,Persona Mayor,4,0,46,46
ENERO,San Cristóbal,San Blas,CENTRO DIA SAN CRISTOBAL,Cra 1 A # 22 A - 01 Sur,Manzanas del Ciudado,16,52,277,329
ENERO,San Cristóbal,San Blas,CIOM SAN BLAS,CRA 8 # 15-72,Manzanas del Ciudado,22,2,307,309
ENERO,San Cristóbal,Los Libertadores,AULA AMBIENTAL JUAN REY,CALLE 72A BIS SUR #13-21 ESTE,Manzanas del Ciudado,38,85,728,813
ENERO,San Cristóbal,San Blas,RAMAJAL,Calle 30B Sur #9 Este 51,Persona Mayor,13,31,370,401
ENERO,San Cristóbal,20 de Julio,SERAFINA SEGUNDO SECTOR,KR 8 27A 47 SUR,Persona Mayor,4,4,49,53
ENERO,San Cristóbal,La Gloria,ALTOS DEL POBLADO,CARRERA 11 ESTE - CALLE 40 SUR,Recreovia Entre Semana,8,4,185,189
ENERO,San Cristóbal,La Gloria,ALTOS DEL POBLADO,CARRERA 11 ESTE - CALLE 40 SUR,Persona Mayor,5,2,112,114
ENERO,Santa Fe,La Macarena,PLAZA  DE LA  SANTA MARIA,CARRERA 5 N 26B 72,Recreovia Entre Semana,48,24,502,526
ENERO,Santa Fe,Las Nieves,PARQUE TERCER MILENIO (4623),CARRERA 10 # 9 - 30,Persona Mayor,25,18,64,82
ENERO,Santa Fe,Las Nieves,PARQUE TERCER MILENIO (4623),CARRERA 10 # 9 - 30,Gimnasios Nocturnos,18,12,30,42
ENERO,Santa Fe,SANTAFE RURAL,PARQUE NACIONAL (PM-2A) ENRIQUE OLAYA HERRERA ( SECTOR HISTORICO ),CARRERA 7 N 37 04,Recreovia Fin de Semana,29,295,671,966
ENERO,Santa Fe,Las Cruces,PARQUE POLIDEPORTIVO LAS CRUCES (4606),CALLE 1 CARRERA 2,Recreovia Entre Semana,11,6,156,162
ENERO,Santa Fe,Las Cruces,PARQUE LAS CRUCES - GRUPO LAS CRUCES PERSONA MAYOR (4532),CALLE 1 CARRERA 2,Persona Mayor,10,4,97,101
ENERO,Santa Fe,Lourdes,PARQUE EL TRIUNFO (4697),CARRERA 12BISC # 14 - 15,Persona Mayor,4,0,24,24
ENERO,Tunjuelito,Venecia,URBANIZACIÓN EL TUNAL II - MINITUNAL,CALLE 51 SUR 51A SUR CON CARRERA 24D COSTADO SURORIENTAL,Recreovia Entre Semana,3,0,55,55
ENERO,Tunjuelito,Venecia,PARQUE URBANIZACION EL TUNAL II (ALHAMBRA),CALLE 48 C SUR N 22D 81; COSTADO ORIENTAL,Cross Hit,1,11,8,19
ENERO,Tunjuelito,Venecia,PARQUE URBANIZACION EL TUNAL II (ALHAMBRA),CALLE 48 C SUR N 22D 81; COSTADO ORIENTAL,Gimnasios Nocturnos,6,36,22,58
ENERO,Tunjuelito,Venecia,PARQUE URBANIZACION EL TUNAL II (ALHAMBRA),CALLE 48 C SUR N 22D 81; COSTADO ORIENTAL,Calistenia,5,14,14,28
ENERO,Tunjuelito,Venecia,PARQUE METROPOLITANO EL TUNAL,CALLE 48 C SUR N 22D 81,Cross Hit,22,95,141,236
ENERO,Tunjuelito,Venecia,PARQUE METROPOLITANO EL TUNAL,CALLE 48 C SUR N 22D 81,Recreovia Fin de Semana,14,107,351,458
ENERO,Tunjuelito,Venecia,PARQUE METROPOLITANO EL TUNAL,CALLE 48 C SUR N 22D 81,Calistenia,4,21,24,45
ENERO,Tunjuelito,Venecia,PARQUE METROPOLITANO EL TUNAL,CALLE 48 C SUR N 22D 81,Recreovia Entre Semana,4,5,41,46
ENERO,Tunjuelito,Venecia,URBANIZACION JAL VENECIA,DIAGONAL 49 SUR N 53 B 02,Persona Mayor,3,4,63,67
ENERO,Tunjuelito,Venecia,URBANIZACION JAL VENECIA,DIAGONAL 49 SUR N 53 B 02,Recreovia Entre Semana,3,0,21,21
ENERO,Tunjuelito,Venecia,EL TUNAL - CEFE,CALLE 48B SUR AV BOYACA,Recreovia Entre Semana,12,11,132,143
ENERO,Tunjuelito,Tunjuelito,CASA DE JUSTICIA TUNJUELITO,CALLE 51 SUR #7-35,Manzanas del Ciudado,10,8,172,180
ENERO,Tunjuelito,Venecia,CASA DE LA CULTURA,Diag 52f  sur # 27 - 26,Recreovia Entre Semana,2,0,18,18
ENERO,Tunjuelito,Tunjuelito,URBANIZACIÓN SAN CARLOS,DG 54 SUR #23,Persona Mayor,3,0,56,56
ENERO,Usaquén,Verbenal,URBANIZACION CODABAS,CALLE 181A CON CARRERA 30A COSTADO SURORIENTAL,Persona Mayor,16,26,272,298
ENERO,Usaquén,Verbenal,URBANIZACION CODABAS,CALLE 181A CON CARRERA 30A COSTADO SURORIENTAL,Gimnasios Nocturnos,21,6,54,60
ENERO,Usaquén,Verbenal,URBANIZACION CODABAS,CALLE 181A CON CARRERA 30A COSTADO SURORIENTAL,Calistenia,8,25,29,54
ENERO,Usaquén,Toberín,VILLAS DE ARANJUEZ PRIMERA ETAPA,KR 14 169 08,Persona Mayor,16,61,557,618
ENERO,Usaquén,Toberín,VILLAS DE ARANJUEZ PRIMERA ETAPA,KR 14 169 08,Calistenia,10,30,60,90
ENERO,Usaquén,Los Cedros,EL CEDRO MADEIRA,COSTADO ORIENTAL DE LA CARRERA 18C ENTRE CALLE 148 Y CALLE 151,Persona Mayor,16,4,373,377
ENERO,Usaquén,San Cristóbal Norte,PARQUE ALTABLANCA,CARRERA 8 A N 158 04,Recreovia Entre Semana,80,168,1291,1459
ENERO,Usaquén,San Cristóbal Norte,PARQUE ALTABLANCA,CARRERA 8 A N 158 04,Cross Hit,24,16,73,89
ENERO,Usaquén,San Cristóbal Norte,PARQUE ALTABLANCA,CARRERA 8 A N 158 04,Calistenia,8,10,32,42
ENERO,Usaquén,La Uribe,PARQUE SOTAVENTO,CALLE 161 # 54-56,Manzanas del Ciudado,44,167,2940,3107
ENERO,Usaquén,Usaquén,CDC SIMON BOLIVAR,CALLE 165 # 7-32,Manzanas del Ciudado,60,29,803,832
ENERO,Usaquén,San Cristóbal Norte,BARRANCAS NORTE,SIN DIRECCION,Persona Mayor,12,18,124,142
ENERO,Usaquén,Verbenal,DESARROLLO VERBENAL II SECTOR,CL 186C 18B 55,Persona Mayor,10,27,258,285
ENERO,Usaquén,Los Cedros,URBANIZACION LAS ACACIAS (CEDRITOS),CARRERA 20 CON CALLE 146 COSTADO SUROCCIDENTAL,Persona Mayor,18,13,541,554
ENERO,Usaquén,Verbenal,PARQUE BUENAVISTA,CL 189 N4A 20,Persona Mayor,8,11,94,105
ENERO,Usaquén,Verbenal,DESARROLLO BUENAVISTA,ENTRE CARRERA 26A Y 27 CON CALLE 189B COSTADO NORT,Persona Mayor,8,35,123,158
ENERO,Usaquén,Verbenal,PARQUE URBANIZACION QUINTAS DE LA SABANA,AV. TIBABITA ENTRE CARRERAS 31 Y 31A COSTADO SUR,Persona Mayor,8,21,114,135
ENERO,Usaquén,Verbenal,PARQUE EL OTOÑO,CL 188 B 11 46,Persona Mayor,16,42,512,554
ENERO,Usaquén,Los Cedros,PARQUE NUEVA AUTOPISTA,CARRERA 20 N 136 91,Recreovia Entre Semana,23,0,341,341
ENERO,Usaquén,Los Cedros,URBANIZACION EL CEDRAL,CALLE 152 CON CARRERA 24A COSTADO ORIENTAL,Recreovia Entre Semana,18,81,615,696
ENERO,Usaquén,Verbenal,DESARROLLO CHAPARRAL,ENTRE CARRERAS 25 B Y 25 B BIS CON CALLES 186 B Y 187,Persona Mayor,12,11,119,130
ENERO,Usaquén,Toberín,PARQUE SAN DIEGO,CARRERA 55a #165a-08,Manzanas del Ciudado,6,12,92,104
ENERO,Usaquén,San Cristóbal Norte,BARRIO SAN CRISTOBAL,CALLE 162 # 7G -37,Manzanas del Ciudado,6,0,62,62
ENERO,Usaquén,Usaquén,DESARROLLO UNICERROS,CARRERA 1 B BIS CON CALLE 128C COSTADO NORTE,Persona Mayor,10,7,223,230
ENERO,Usaquén,Usaquén,PARQUE SANTA MONICA,CRA 16 B # 167 B 74,Manzanas del Ciudado,6,0,81,81
ENERO,Usme,Comuneros,PARQUE VALLES DE CAFAM,CALLE 92 SUR N 14D 87,Recreovia Entre Semana,18,0,154,154
ENERO,Usme,Comuneros,PARQUE VALLES DE CAFAM,CALLE 92 SUR N 14D 87,Recreovia Fin de Semana,30,90,325,415
ENERO,Usme,Comuneros,PARQUE VALLES DE CAFAM,CALLE 92 SUR N 14D 87,Gimnasios Nocturnos,12,2,63,65
ENERO,Usme,Comuneros,CDC JULIO C. SANCHEZ MANZANAS,CALLE 91 A SUR 3 C - 34,Manzanas del Ciudado,50,133,1226,1359
ENERO,Usme,Gran Yomasa,PARQUE LA AURORA II,DIAGONAL 69 F SUR N 14U 45,Persona Mayor,22,6,710,716
ENERO,Usme,Gran Yomasa,"URBANIZACION MIRAVALLE I, II Y III ETAPAS, EL CORTIJO, SAN JUAN BAUTISTA Y SAN LUIS",CALLE 74 C BIS SUR N 14P 04,Persona Mayor,16,9,206,215
ENERO,Usme,Gran Yomasa,"URBANIZACION MIRAVALLE I, II Y III ETAPAS, EL CORTIJO, SAN JUAN BAUTISTA Y SAN LUIS",CALLE 74 C BIS SUR N 14P 04,Calistenia,12,20,64,84
ENERO,Usme,Gran Yomasa,PARQUE LA ANDREA,CALLE 81 BIS SUR N 8A 24,Recreovia Entre Semana,36,61,762,823
ENERO,Usme,Gran Yomasa,PARQUE LA ANDREA,CALLE 81 BIS SUR N 8A 24,Gimnasios Nocturnos,27,0,125,125
ENERO,Usme,Danubio,PARQUE NUEVO MILENIO I ETAPA I,CL 67A SUR CR 11 COSTADO OCCIDENTAL,Gimnasios Nocturnos,24,79,6,85
ENERO,Usme,Danubio,PARQUE NUEVO MILENIO I ETAPA I,CL 67A SUR CR 11 COSTADO OCCIDENTAL,Recreovia Entre Semana,27,41,642,683
ENERO,Usme,Danubio,PARQUE NUEVO MILENIO I ETAPA I,CL 67A SUR CR 11 COSTADO OCCIDENTAL,Calistenia,25,58,183,241
ENERO,Usme,Comuneros,PARQUE EL VIRREY,KR 3B ESTE 92A 15 SUR,Persona Mayor,16,53,715,768
ENERO,Usme,Comuneros,PARQUE VILLA ALEMANA,CALLE 100 BIS SUR N 1 17,Calistenia,10,14,84,98
ENERO,Usme,Comuneros,PARQUE EL VIRREY MANZANAS,CALLE 93 SUR # 4 C - 23,Manzanas del Ciudado,7,83,478,561
ENERO,Usme,Alfonso López,DESARROLLO ALFONSO LOPEZ SECTOR EL PROGRESO,CALLE 93 SUR N 6B 12 ESTE,Persona Mayor,12,30,302,332
